BoxID,Processor,Weight
125,208,810984599
126,216,860641653
127,216,843350244
128,2,891565165
129,0,845210672
130,10,798228865
131,10,851563169
132,67,855683548
133,66,858484176
134,74,827799135
135,72,907600985
136,3,876436569
137,1,848965149
138,8,863112317
139,8,833187082
140,67,878090737
141,64,862487213
142,73,890633309
143,73,920342248
144,2,855258993
145,0,883816204
146,10,889890089
147,9,841484500
148,67,843162400
149,65,888364445
150,72,844107355
151,73,808467505
152,1,889295916
153,5,820595700
154,8,826212495
155,14,809425378
156,66,814938172
157,71,842159182
158,75,932194636
159,76,885855174
160,18,810362152
161,19,802153703
162,26,830893581
163,27,907049799
164,83,848642183
165,81,824718094
166,88,869816779
167,91,889514172
168,18,874339271
169,16,873374657
170,24,915883617
171,24,829003672
172,81,887771851
173,82,853530044
174,88,864978481
175,89,821149461
176,18,922225605
177,19,860410774
178,25,878896364
179,26,869072131
180,82,854024834
181,81,847121467
182,91,791776670
183,89,880010533
184,16,974294232
185,21,858111143
186,24,852356284
187,30,842584326
188,81,801181700
189,85,904023122
190,88,855748547
191,92,870972833
192,131,767581967
193,131,975922876
194,137,814976931
195,136,835806205
196,194,868237751
197,192,936865883
198,200,911750714
199,202,883595412
200,128,904878407
201,130,838088780
202,139,767274458
203,138,786615028
204,194,928871494
205,195,831997156
206,201,855358630
207,201,815213100
208,131,829992811
209,129,872214950
210,137,850360886
211,139,850842937
212,195,860770470
213,195,950169103
214,201,869108910
215,202,847918330
216,128,878744310
217,134,795558692
218,136,824542703
219,143,907839654
220,195,755622291
221,193,852347600
222,200,826074280
223,203,898661096
224,144,863535924
225,145,837464755
226,155,908925599
227,153,855625705
228,209,907646084
229,208,905332719
230,217,841675974
231,218,822719340
232,145,891736376
233,147,808560494
234,154,844909033
235,154,930652700
236,211,898937334
237,209,796340541
238,219,765819072
239,218,868690461
240,145,860125339
241,146,841311370
242,152,839774537
243,152,798515901
244,211,842652272
245,210,772185769
246,217,856058888
247,218,855913310
248,147,870552208
249,147,859432543
250,152,862914507
251,155,843705960
252,210,894861276
253,210,898783275
254,219,867947868
255,216,885013974
256,5,877812600
257,7,892995355
258,12,844028401
259,13,902410114
260,70,810415304
261,70,865515564
262,76,879278227
263,77,891840318
264,6,889532163
265,5,889534233
266,13,842026520
267,15,854239549
268,70,838072425
269,70,885235151
270,78,896998280
271,77,832291116
272,7,911414857
273,6,876534535
274,15,798040689
275,12,887826930
276,69,845294835
277,71,894608306
278,78,865613244
279,79,768858281
280,4,943681291
281,6,921380543
282,13,881172963
283,12,817591909
284,69,888281810
285,69,818056632
286,79,880085130
287,77,876793132
288,23,823512605
289,23,870662612
290,28,836062728
291,31,930851287
292,84,874992879
293,87,884543985
294,93,852220514
295,95,878034960
296,20,813010063
297,22,877281536
298,31,798224639
299,28,884659052
300,87,865268467
301,87,876676658
302,94,888000687
303,93,838165105
304,23,868451460
305,21,816314290
306,29,838552145
307,28,852461969
308,84,854604025
309,87,796283798
310,92,801959545
311,93,896494488
312,20,829662182
313,21,923121518
314,29,860609286
315,29,846263897
316,85,827001673
317,85,866950748
318,94,814025130
319,95,814205050
320,133,831663035
321,132,848576086
322,142,808162486
323,142,886384612
324,199,856290756
325,197,840806516
326,207,798109910
327,207,887948500
328,134,854029919
329,132,875835172
330,141,868681625
331,141,873325093
332,198,829206085
333,196,873624940
334,205,835636822
335,207,852614503
336,133,857699193
337,135,875467852
338,141,858856028
339,141,903194978
340,199,824827803
341,197,808599854
342,206,814992972
343,204,829133734
344,135,856026861
345,132,866165550
346,143,830192540
347,143,819244544
348,198,857129005
349,198,934256453
350,205,908323609
351,204,860264120
352,149,843801848
