BoxID,Processor,Weight
155,99,531897621
156,89,554479599
157,104,656131652
158,29,465616518
159,68,514032002
160,33,786934381
161,70,646822924
162,126,549729640
163,87,330628288
164,14,467499958
165,1,441936782
166,54,396016030
167,86,634091055
168,122,624819240
169,44,583844253
170,74,599194164
171,77,615912766
172,19,588175118
173,36,409769505
174,86,660736727
175,53,487048902
176,16,430607279
177,41,753020972
178,15,491230211
179,75,608609481
180,25,715224806
181,96,301197539
182,23,462920435
183,44,406928140
184,3,472074662
185,106,280957807
186,4,710660680
187,104,283473248
188,81,681583706
189,42,579213957
190,89,811507339
191,48,581529390
192,74,702641536
193,61,690642344
194,81,614669253
195,76,650272680
196,36,699951486
197,13,597087903
198,25,499963260
199,34,588207375
200,101,292488784
201,115,671051866
202,94,304692271
203,50,399069314
204,18,770861325
205,31,502337555
206,111,674305006
207,21,496612347
208,76,353327472
209,35,598076435
210,50,704176352
211,58,511232315
212,109,276060565
213,102,534095333
214,62,599926589
215,97,661987921
216,66,517452843
217,9,436270062
218,59,612852987
219,79,652157396
220,87,525823642
221,80,350410911
222,85,659520250
223,118,241298341
224,34,410983589
225,57,487924215
226,83,342504409
227,40,408022840
228,14,562349523
229,60,605389536
230,6,591519748
231,67,365675552
232,124,233377458
233,55,395396882
234,109,616305642
235,56,394968820
236,96,635988666
237,126,853428537
238,75,516215044
239,60,511453788
240,50,598383965
241,52,485852023
242,60,382785671
243,17,773398797
244,27,418948120
245,95,302075463
246,6,438152938
247,13,432557189
248,80,461828999
249,97,298178361
250,113,542063179
251,60,696926085
252,103,534855638
253,125,448633597
254,26,419631761
255,120,446236358
256,90,555893011
257,20,718050252
258,97,631679662
259,59,382772508
260,71,693098366
261,100,654136711
262,58,605309801
263,112,270956673
264,106,452135255
265,118,667735710
266,11,435403057
267,25,589199361
268,11,490569156
269,108,674300114
270,61,512021979
271,83,653497484
272,75,691519985
273,2,754940306
274,39,701959502
275,69,363638485
276,73,607830888
277,116,622863850
278,116,666223746
279,101,533049908
280,2,441036487
281,80,799211536
282,114,262853928
283,9,494241991
284,21,424774797
285,86,526421176
286,24,560421417
287,38,504012468
288,109,536043293
289,111,617265474
290,49,400693405
291,28,418875828
292,29,781872229
